h,alpha,steps,midpoint_curvature,classification,grid_argmin_eta1_fraction,symmetric_loss,grid_min_loss
512,1.1,1,-5.095475645122878e-13,local_max,0.05,0.9874277609294962,0.9874276318171838
512,1.1,2,3.0249254510048784e-10,local_min,0.49999999999999994,0.9728683123987337,0.9728683123987337
512,1.25,1,-2.685997652808077e-12,local_max,0.05,0.9651398215112199,0.9651358714129472
512,1.25,2,8.903214448355417e-10,local_min,0.49999999999999994,0.9262801069986765,0.9262801069986765
512,1.4,1,-1.682861214770601e-11,local_max,0.05,0.9096276547789549,0.9094706220776916
512,1.4,2,1.962199210553009e-09,local_min,0.49999999999999994,0.7789477531442185,0.7789477531442185
512,1.5,1,-5.831843737316671e-11,local_max,0.05,0.8349496840978944,0.833060887100824
512,1.5,2,1.5395909930547376e-09,local_min,0.49999999999999994,0.48051528912595254,0.48051528912595254
1000,1.1,1,-1.9923417409185265e-14,local_max,0.05,0.993034898838022,0.9930348771119003
1000,1.1,2,2.330144089041212e-11,local_min,0.49999999999999994,0.9850548658627329,0.9850548658627329
1000,1.25,1,-1.3048483037650096e-13,local_max,0.05,0.978633901344346,0.9786328862154479
1000,1.25,2,7.706177017405244e-11,local_min,0.49999999999999994,0.9552774286795016,0.9552774286795018
1000,1.4,1,-1.0087043390045903e-12,local_max,0.05,0.9386726249858937,0.9386114000818573
1000,1.4,2,2.0168939496867107e-10,local_min,0.49999999999999994,0.851115019024593,0.851115019024593
1000,1.5,1,-4.003800000429436e-12,local_max,0.05,0.8795108935932648,0.8785453735932648
1000,1.5,2,2.498476334666933e-10,local_min,0.49999999999999994,0.5900675743730593,0.5900675743730593
2048,1.1,1,-6.21131653980283e-16,local_max,0.05,0.9963060516260251,0.9963060483904308
2048,1.1,2,1.4749398477101818e-12,local_min,0.49999999999999994,0.9921183121119992,0.9921183121119992
2048,1.25,1,-5.135068343718216e-15,local_max,0.05,0.9873926820898271,0.9873924437434218
2048,1.25,2,5.469730407735687e-12,local_min,0.49999999999999994,0.9738584167179559,0.9738584167179559
2048,1.4,1,-4.959361811767441e-14,local_max,0.05,0.9597019643326626,0.9596795871941244
2048,1.4,2,1.6623739939774437e-11,local_min,0.49999999999999994,0.9035472859909056,0.9035472859909056
2048,1.5,1,-2.274733289364781e-13,local_max,0.05,0.9145418166888397,0.9140707761538667
2048,1.5,2,2.6604200665980458e-11,local_min,0.49999999999999994,0.6933292388012575,0.6933292388012575
