h,alpha,steps,curvature
512,0.25,1,-3.1117269915539076e-08
512,0.25,2,0.00026293538639731047
512,0.4,1,-3.835968844353451e-08
512,0.4,2,0.000629698866748172
512,0.5,1,-5.960466495369407e-08
512,0.5,2,0.0008604214905665039
512,0.55,1,-8.54153771770197e-08
512,0.55,2,0.0005326705818592841
1000,0.25,1,-4.1287401590462e-09
1000,0.25,2,8.373551983397015e-05
1000,0.4,1,-5.004185271724963e-09
1000,0.4,2,0.00022840211499783043
1000,0.5,1,-8.000045070843955e-09
1000,0.5,2,0.000369716459447389
1000,0.55,1,-1.1981042285460951e-08
1000,0.55,2,0.00031956197062081647
2048,0.25,1,-4.759342765385194e-10
2048,0.25,2,2.434004432225349e-05
2048,0.4,1,-5.669157539187347e-10
2048,0.4,2,7.532502117555754e-05
2048,0.5,1,-9.313296661650479e-10
2048,0.5,2,0.00014017970183070877
2048,0.55,1,-1.4638305654465866e-09
2048,0.55,2,0.00014684648142294611
