h,lr_max,steps,midpoint_class,argmin_eta1_fraction,midpoint_loss,minimum_loss
1000,30,1,local_max,0.001,0.941900500625,0.9419000017990083
1000,30,2,local_min,0.5,0.8599071373753906,0.8599071373753906
1000,35,1,local_max,0.001,0.9322257062890624,0.9322250024490476
1000,35,2,local_min,0.5,0.8271989916352555,0.8271989916352555
1000,40,1,local_max,0.001,0.92260096,0.9226000031993549
1000,40,2,local_min,0.5,0.7905147136000001,0.7905147136000001
1000,45,1,local_max,0.001,0.9130262687890625,0.9130250040500425
1000,45,2,local_min,0.5,0.7495371483042006,0.7495371483042006
1000,50,1,local_max,0.001,0.903501640625,0.9035000050012375
1000,50,2,local_min,0.5,0.7040706604003907,0.7040706604003907
1000,55,1,local_max,0.001,0.8940270844140625,0.8940250060530823
1000,55,2,local_min,0.5,0.6540650647448745,0.6540650647448745
1000,60,1,local_max,0.001,0.88460261,0.8846000072057341
1000,60,2,local_min,0.5,0.5996423741000001,0.5996423741000001
1000,65,1,local_max,0.001,0.8752282281640625,0.8752250084593649
1000,65,2,local_min,0.5,0.5411263645373549,0.5411263645373549
1000,70,1,local_max,0.001,0.8659039506249999,0.865900009814162
1000,70,2,local_min,0.5,0.47907495918789056,0.47907495918789056
1000,75,1,local_max,0.999,0.8566297900390625,0.8566250112703273
1000,75,2,local_min,0.5,0.41431543104648594,0.41431543104648594
1000,80,1,local_max,0.001,0.84740576,0.8474000128280781
1000,80,2,local_min,0.5,0.3479824256000001,0.3479824256000001
1000,85,1,local_max,0.001,0.8382318750390625,0.8382250144876463
1000,85,2,local_min,0.5,0.2815588041093766,0.2815588041093766
1000,90,1,local_max,0.001,0.829108150625,0.8291000162492789
1000,90,2,local_min,0.5,0.21691930843789062,0.21691930843789062
1000,95,1,local_max,0.001,0.8200346031640625,0.8200250181132378
1000,95,2,local_min,0.5,0.15637704837915195,0.15637704837915195
1000,100,1,local_max,0.001,0.81101125,0.8110000200798001
1000,100,2,local_min,0.5,0.10273281250000003,0.10273281250000003
